run_id,label,measured_at_utc,url,concurrency,interval_sec,retry_count,warmup,ok,status,e2e_ms,total_ms,auth_ms,handler_ms,other_ms,mod_ms,mod_api_ms,mod_ctx_ms,embed_ms,examples_ms,memories_ms,gen_ms,gpt_ms,gpt_calls,guard_attempts,guard_fallback,cold,early_return,diary_len,whale_len
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,True,True,200,8396,7812,1,7809,2,2509,1747,762,166,89,57,4241,4241,2,2,False,False,,35,98
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,6655,5684,0,5681,2,1805,1013,792,141,103,63,3137,3136,2,2,True,False,,97,78
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5722,3940,0,3937,2,1306,431,874,165,82,61,1903,1902,1,1,False,False,,38,96
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5147,4872,0,4869,3,1228,324,904,147,60,57,3089,3088,2,2,True,False,,103,102
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,7340,5316,0,5314,2,1126,464,663,145,88,73,3571,3571,2,2,False,False,,54,88
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5632,4795,1,4791,3,1107,432,675,152,89,56,3107,3106,2,2,True,False,,81,90
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5571,4957,0,4942,15,1127,299,828,159,106,63,3191,3191,2,2,False,False,,30,79
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,6012,5607,0,5605,2,1130,423,707,140,85,61,3880,3880,2,2,False,False,,46,67
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5223,4529,0,4527,1,906,240,666,140,84,64,2933,2932,2,2,True,False,,35,82
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,6593,5582,0,5580,2,1034,325,708,246,89,54,3173,3172,2,2,True,False,,97,89
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,6028,5298,0,5296,2,1049,357,692,137,188,58,2939,2938,2,2,True,False,,38,79
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5812,4958,0,4956,2,973,288,685,218,87,55,3180,3179,2,2,False,False,,103,70
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,4650,4033,1,4031,2,1632,901,731,152,87,52,1702,1702,1,1,False,False,,54,83
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,3959,3584,0,3582,2,1260,446,814,146,90,67,1502,1501,1,1,False,False,,81,89
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,3788,3434,0,3432,2,1260,511,749,130,67,50,1517,1517,1,1,False,False,,30,83
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5256,4894,1,4890,3,1044,284,759,172,86,56,3105,3105,2,2,False,False,,46,77
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,3965,3500,0,3498,2,1113,433,680,123,93,59,1669,1669,1,1,False,False,,35,88
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,6153,5619,0,5618,1,1575,481,1094,131,87,51,3250,3248,2,2,True,False,,97,82
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,3685,3383,0,3381,2,853,230,623,136,116,61,1724,1723,1,1,False,False,,38,94
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5765,4982,0,4980,2,1172,472,700,154,75,57,3222,3222,2,2,True,False,,103,98
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,3341,3123,0,3121,2,1041,376,664,126,80,61,1407,1407,1,1,False,False,,54,61
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5329,4620,0,4618,2,1063,375,688,139,77,60,2838,2837,2,2,True,False,,81,100
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,5568,5137,0,5135,2,1095,368,727,155,79,51,3493,3492,2,2,False,False,,30,64
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,6531,5915,0,5913,2,1084,370,714,125,74,60,4257,4256,2,2,True,False,,46,75
20260907T144553Z,after-guard,2026-09-07T14:45:53.790810+00:00,https://api.whale-done.com,1,6.0,0,False,True,200,4196,3508,0,3506,2,1363,387,976,177,77,51,1554,1554,1,1,False,False,,35,78
